Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
2,473,378,288,2.561,1.280,-459521
2,474,398,281,2.733,1.367,-257
2,475,415,285,2.253,1.126,-1
2,476,423,277,1.459,0.730,-65796
2,477,443,268,2.829,1.415,-1179649
2,478,450,264,1.040,0.520,-1
2,479,456,257,1.189,0.595,-1
2,480,476,251,2.694,1.347,-1
2,481,485,243,1.553,0.777,-257
2,482,526,235,5.389,2.694,-393473
2,483,542,232,2.100,1.050,-1
2,484,558,225,2.253,1.126,-1
2,485,584,216,3.549,1.775,-1
2,486,592,215,1.040,0.520,-259
2,487,606,217,1.824,0.912,-1
2,488,622,218,2.068,1.034,-131075
2,489,634,218,1.548,0.774,-1
2,490,653,231,2.970,1.485,-2
2,491,676,234,2.992,1.496,-1
2,492,691,237,1.973,0.987,-1
2,493,716,245,3.386,1.693,-1
2,494,725,254,1.642,0.821,-4004357
2,495,740,260,2.084,1.042,-1
2,496,749,272,1.935,0.968,-260
2,497,781,302,5.658,2.829,-1
2,498,803,370,9.220,4.610,-3
2,499,806,413,5.560,2.780,-1
2,500,794,433,3.009,1.504,-1
2,501,779,423,2.326,1.163,-1
4,301,559,547,-1.000,-1.000,-1
4,302,539,564,3.386,1.693,-1
4,303,520,572,2.659,1.330,-131073
4,304,489,596,5.057,2.529,-1638401
4,305,506,580,3.012,1.506,-1
4,306,516,595,2.326,1.163,-1
4,307,505,599,1.510,0.755,-589825
4,308,492,606,1.905,0.952,-131073
4,309,483,605,1.168,0.584,-513
4,310,439,642,7.416,3.708,-393217
4,311,410,680,6.166,3.083,-257
4,312,402,694,2.080,1.040,-1
4,313,401,695,0.182,0.091,-1
4,314,370,683,4.288,2.144,-257
4,315,371,692,1.168,0.584,-1
4,316,374,700,1.102,0.551,-1
4,317,385,702,1.442,0.721,-3
4,318,396,703,1.425,0.712,-5845014
4,319,401,708,0.912,0.456,-1
4,320,418,713,2.286,1.143,-1
4,321,413,710,0.752,0.376,-1
4,322,410,703,0.982,0.491,-257
4,323,416,694,1.395,0.698,-1
4,324,423,702,1.371,0.686,-9
4,325,426,713,1.471,0.735,-1
4,326,433,723,1.575,0.787,-65537
4,327,434,719,0.532,0.266,-1
4,328,442,718,1.040,0.520,-1
4,329,443,717,0.182,0.091,-65794
4,330,452,723,1.395,0.698,-1
4,331,457,727,0.826,0.413,-516
4,332,461,733,0.930,0.465,-131073
4,333,461,733,0.000,0.000,-131073
4,334,452,703,4.040,2.020,-1
4,335,446,704,0.785,0.392,-257
4,336,440,702,0.816,0.408,-14781269
4,337,439,701,0.182,0.091,-259
4,338,437,716,1.952,0.976,-1
4,339,443,724,1.290,0.645,-5648918
4,340,440,732,1.102,0.551,-1
4,341,436,737,0.826,0.413,-1
4,342,437,737,0.129,0.065,-259
4,343,431,734,0.865,0.433,-1
4,344,430,739,0.658,0.329,-259
4,345,432,737,0.365,0.182,-1
4,346,439,736,0.912,0.456,-131073
4,347,440,737,0.182,0.091,-131073
4,348,431,751,2.147,1.073,-257
4,349,422,754,1.224,0.612,-1
4,350,422,760,0.774,0.387,-257
4,351,428,765,1.008,0.504,-257
4,352,441,772,1.905,0.952,-3938563
4,353,461,776,2.631,1.316,-1
4,354,500,790,5.345,2.673,-1
4,355,502,791,0.288,0.144,-1
4,356,487,791,1.935,0.968,-262407
4,357,508,802,3.058,1.529,-1
4,358,520,807,1.677,0.839,-131073
4,359,527,808,0.912,0.456,-524289
4,360,578,808,6.579,3.290,-1
4,361,583,807,0.658,0.329,-257
4,362,618,807,4.515,2.258,-1
4,363,637,806,2.454,1.227,-12218181
4,364,651,804,1.824,0.912,-1
4,365,648,798,0.865,0.433,-1
4,366,667,796,2.465,1.232,-1
4,367,677,796,1.290,0.645,-1
4,368,688,794,1.442,0.721,-1
4,369,709,786,2.899,1.449,-257
4,370,718,782,1.271,0.635,-1
4,371,733,777,2.040,1.020,-1
4,372,748,771,2.084,1.042,-259
4,373,766,756,3.023,1.511,-1
4,374,775,744,1.935,0.968,-1
4,375,779,730,1.878,0.939,-1
4,376,788,707,3.186,1.593,-131073
4,377,795,697,1.575,0.787,-1
4,378,801,685,1.731,0.865,-1
4,379,808,660,3.349,1.675,-14256469
4,380,811,642,2.354,1.177,-10191990
4,381,811,622,2.580,1.290,-257
4,382,812,608,1.811,0.905,-1
4,383,811,603,0.658,0.329,-3
4,384,809,596,0.939,0.470,-12687222
4,385,790,603,2.612,1.306,-1
